step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
764,B2,CLAUSES,conditional,"FORM/USE: SUBORDINATING CONJUNCTIONS, CONDITIONS","Can use conditional subordinate clauses with a range of conjunctions ('as long as', 'provided') + present simple or present continuous, with future reference.",As long as it involves children I'd be delighted to work for you during the summer.,
765,B2,CLAUSES,coordinated,"FORM/USE: 'NEITHER … NOR', EMPHASIS","Can combine two main clauses of the same type using 'neither' in front or mid position, followed by 'nor' to introduce the second clause, for emphasis.",We neither walk nor do exercises.,
766,B2,CLAUSES,coordinated,"FORM/USE: 'NOT ONLY … BUT (ALSO)', FOCUS","Can combine clauses using 'not only' in mid position of the first clause followed by … 'but (also)' to introduce the second clause, to give focus.","The atmosphere was friendly, not only because it wasn't too crowded, but also because the waiters always help you.",
767,B2,CLAUSES,imperatives,"FORM/USE: 'LET'S NOT', SUGGESTION",Can use 'let's not' + base form of a main verb to make a suggestion.,Let's not lose track of each other again!,
768,B2,CLAUSES,imperatives,"FORM/USE: 'DO NOT', EMPHASIS",Can use 'do not' for emphasis or in formal contexts.,Do not forget to have a break at lunchtime and try to eat your meal whenever possible in a silent room.,
769,B2,CLAUSES,interrogatives,FORM: NEGATIVE INTERROGATIVE + ADVERB,"Can form negative interrogative clauses with an adverb in mid position, between the subject and the main verb.",Money - hasn't it always been one of the most important problems for students?,
770,B2,CLAUSES,phrases/exclamations,FORM/USE: NEGATIVE INTERROGATIVE ,Can use the negative interrogative form of an auxiliary verb to express surprise or enthusiasm.,Wouldn't it be wonderful!,
771,B2,CLAUSES,relative,FORM: PRONOUN + PREPOSITION,"Can use defining relative clauses and non-defining relative clauses ending in a preposition, with 'who/which/that' as the complement of the preposition.","Thank you very much for having provided us with valuable information about your finance services, which we are greatly interested in.",
772,B2,CLAUSES,relative,"FORM: NON-DEFINING, WITH 'WHOSE'","Can use non-defining relative clauses with 'whose', to give additional information.","And I was initially employed to be an entrance assistant, whose job was to keep the queue under control as well as keeping the area clean.",
773,B2,CLAUSES,relative,"FORM/USE: DEFINING, WITH 'WHOSE'","Can use defining relative clauses with 'whose', to give more information about relationship.",I visited several primary schools in Canberra and had opportunities to teach not only Australian children but also Vietnamese children whose parents immigrated to Australia.,
774,B2,CLAUSES,relative,"FORM/USE: SENTENCE, EVALUATIVE","Can use a relative clause to refer to a whole clause or sentence, often to express an opinion or evaluation or give a reason.","It is now possible to send a letter and receive an answer within ten minutes, which is a good thing if you want to buy a house, a car etc.",
775,B2,CLAUSES,subordinated,FORM/USE: NON-FINITE WITH '-ING',"Can use a non-finite subordinate clause with 'after' + 'having/being' + '-ed' form, before a main clause, to refer to past time.","After having worked for many hours, you'll probably be tired.",
776,B2,CLAUSES,subordinated,FORM/USE: CONDITIONS,"Can use a finite subordinate clause, before or after a main clause, with conjunctions to introduce conditions. ► clauses: conditionals",Unless something is done many people will die.,
777,B2,CLAUSES,subordinated,FORM/USE: '-ING' CLAUSE,"Can use a non-finite clause, introduced by '-ing' before a main clause, to give more information.","Having no choice, I sat down on a bench which was in the middle of the road to wait for the rain to stop.",
778,B2,CONJUNCTIONS,coordinating,FORM/USE: 'BOTH … AND' WITH PHRASES AND CLAUSES,"Can use 'both … and' to combine phrases and clauses, often for emphasis.",And we have won a high reputation both at home and abroad.,
779,B2,CONJUNCTIONS,coordinating,FORM/USE: 'NEITHER … NOR' ,"Can use 'neither … nor' to connect two words, phrases or clauses, often to give emphasis or focus.",Neither you nor I would like that.,
780,B2,CONJUNCTIONS,subordinating,FORM: COMPLEX,"Can use more complex subordinating conjunctions ('as long as, as soon as, in order that, despite the fact that, due to the fact that, as if, as though') to introduce a subordinate clause.","As far as I am concerned, keeping animals in zoos is not cruel as long as the zoos keep to certain rules concerning the conditions the animals have to be kept in.",
781,B2,CONJUNCTIONS,subordinating,FORM: SIMPLE,"Can use a wide range of simple subordinating conjunctions ('once, whereas, unless, except (that) provided (that)'), to introduce a subordinate clause.","Believe me, once you have tried it, you'll never give it up.",3.0
782,B2,DETERMINERS,articles,FORM/USE: 'THE MORE … THE MORE …',"Can use the in comparative phrases 'more', 'less', 'worse', 'better … the more', 'less', 'worse …' to talk about one thing that is affected by another. ► comparative clauses","[talking about how watching TV is bad for you] I mean that you can watch one or two hours a day but the more you watch, the worse you become.",
783,B2,DETERMINERS,possessives,FORM: OF + NOUN PHRASE ''S',Can use ''s' after a noun phrase with of to indicate possession.,"Actually, I know a great one and they can make a little discount for us because the owner is a friend of my father's.",
784,B2,DETERMINERS,possessives,FORM: PLURAL NOUN + 'S'',Can use 's'' after plural nouns to indicate possession.,"I decided to spend the rest of my holiday in my parents' house, near the sea.",
785,B2,DETERMINERS,possessives,USE: GENERIC 'THEIR',Can use 'their' before nouns to refer to a generic body or group of people expressed as a singular subject. ► generic pronouns,… yet everyone has their preference for one or another.,
786,B2,DETERMINERS,possessives,FORM: 'ITS'  ,Can use possessive determiner 'its' before nouns to refer to a singular inanimate subject or object.,"It was the biggest TV in the bazaar with its huge, black screen.",
787,B2,DETERMINERS,quantity,FORM: 'LITTLE/FEW',"Can use modifier + 'little' + uncountable nouns and modifier + 'few' + countable nouns, to indicate a lack of something or not as much as expected of something.► adverbs","I spend very little time outside, and I know I do not have enough stamina and strength.",
788,B2,DISCOURSE MARKERS,discourse markers in writing,FORM/USE: COMPARING,Can use a range of phrases as discourse markers to introduce a comparison.,"[talking about celebrating New Year] But some countries celebrate on other dates too, like they have Chinese New Year according to their calendar.  Likewise, in Nepal New Year is celebrated on 1st of Baishak, which is the start of a new year according to the Nepalese calendar.",
789,B2,DISCOURSE MARKERS,discourse markers in writing,"FORM/USE: SUMMARISING, FORMAL",Can use a range of phrases as discourse markers to summarise.,"Thus, I would be very grateful if you would send me clear explanations of the following points: firstly, I would like you to specify what “the normal price” is, and therefore what would be the cost of two nights.",
790,B2,DISCOURSE MARKERS,discourse markers in writing,"FORM/USE: ORGANISING, OPENINGS AND CLOSINGS, FORMAL","Can use a range of phrases as discourse markers to open and close texts and point to conclusions, often in formal contexts.","To begin with, I want to ensure that you are going to have a great time with us.",
791,B2,FOCUS,focus,FORM/USE: 'THE THING/ FACT/ POINT/ PROBLEM IS (THAT)',"Can use 'The thing, fact, point, problem, or reason + is (that)' for focus.","The reason is I like children, I have experience of looking after disabled people and I like to do things like volunteering.",
792,B2,FOCUS,focus,"FORM/USE: 'THE REASON (THAT)', 'THE PLACE (WHICH)' + CLAUSE, SUBJECT","Can use 'The reason (that)', 'The place (which)' + clause as subject + 'be' for focus. ► Relative clauses",The reason I am writing is to suggest a few things about our holidays.,
793,B2,FUTURE,future continuous,USE: POLITENESS,"Can use the future continuous with 'will' as a polite question form, in place of the present simple or future simple.",Will I be needing any money?,
794,B2,FUTURE,future continuous,FORM: QUESTIONS ,Can use 'yes/no' and 'wh-' question forms with 'will'.,Will they be holding any activities at night?,
795,B2,FUTURE,future expressions with be,FORM: 'BE ABOUT TO',Can use the present forms of 'be' + 'about to'.,You are not going to believe what I am about to tell you!,
796,B2,FUTURE,future expressions with be,USE: SCHEDULES,"Can use 'be due to' and, more formally, 'be to' talk about things that are scheduled or expected.",Our annual conference for HR managers is due to take place on 10 December 2010.,
797,B2,FUTURE,future expressions with be,FORM: 'BE TO',Can use the present form of 'be' + 'to'.,"Dear Erica, I am sorry that I cannot attend the meeting at head office as expected, as I am to go on a business trip to New York then.",
798,B2,FUTURE,future expressions with be,USE: OBLIGATIONS AND  INSTRUCTIONS WITH 'BE TO',Can use 'be to' talk about future obligations and to give instructions.,"[talking about gorillas] We have no right to do so, because they are to be respected as much as any other living form on this planet!",
799,B2,FUTURE,future expressions with be,USE: IMMEDIATE FUTURE WITH 'BE ABOUT TO',"Can use 'be about to' to talk about the immediate future, often with 'just'.","I know what you 're about to answer, and moreover you might be right;",
800,B2,FUTURE,future expressions with be,FORM: 'BE DUE TO',Can use the present form of 'be' + 'due to'.,"I am afraid that July is the only appropriate month, because I am due to start work in August.",
801,B2,FUTURE,future in the past,USE: 'BE ON THE POINT OF',Can use the simple past form of 'be' + 'on the point of' + '-ing' to talk about things that were expected to happen soon after a point in the past.,"In addition, when I was on the point of leaving the office, another phone rang.",
802,B2,FUTURE,future in the past,USE: 'BE ABOUT TO',Can use the simple past form of 'be' + 'about to' (often with 'just') to talk about the immediate future from a point in the past.,"Two days before, I told him that our father was about to buy a brand new car.",
803,B2,FUTURE,future perfect continuous,FORM: NEGATIVE,,,
804,B2,FUTURE,future perfect continuous,FORM: AFFIRMATIVE ,Can use the affirmative form with 'will'.,This summer I will have been working for three years for my company …,
805,B2,FUTURE,future perfect continuous,USE: LOOKING BACK FROM A POINT IN THE FUTURE ,Can use the future perfect continuous to look back to the past from a point in the future and to emphasise the duration of an activity or event.,"Now I am staying in Hastings in England and this month, I will have been studying English for seven months.",
806,B2,FUTURE,future perfect simple,FORM: AFFIRMATIVE,Can use the affirmative form with 'will'.,I'm sure I will have learned today's lesson by the next lesson.,
807,B2,FUTURE,future perfect simple,FORM: NEGATIVE ,Can use the negative form with 'will'.,"I think that the best time for me to visit Scotland would be in July, because I will not have finished my university exams by June.",
808,B2,FUTURE,future perfect simple,USE: EVENTS COMPLETED IN THE FUTURE,Can use the future perfect simple with 'will' to talk about something which is expected to be completed (or not completed) by a certain point in the future.,There is no problem if you want to leave at 4.30 pm as the match will have finished by that time.,
809,B2,FUTURE,present continuous for future use,USE: FUTURE ARRANGEMENTS,Can use the present continuous with a wide range of verbs to talk about future arrangements.,We’re throwing a party for fun on 5th January.,3.0
810,B2,FUTURE,present continuous for future use,USE: QUESTIONS ABOUT THE FUTURE,Can use the present continuous with a wide range of common verbs to ask about future plans.,So are you planning to visit Japan then?,3.0
811,B2,MODALITY,adjectives,FORM: 'IT' + LINKING VERB + ADJECTIVES + CLAUSE,Can use 'it' + linking verb + adjective + ('that') clause.,It seems clear to me that swimming is good for the whole body.,
812,B2,MODALITY,adjectives,"FORM/USE: 'IT' + LINKING VERB + ADJECTIVES + CLAUSE, HEDGING",Can use 'it' + linking verb + adjective + ('that') clause to make an assertion less direct.,It does not seem possible that we can live without any private life.,
813,B2,MODALITY,adjectives,"FORM/USE: 'IT' + LINKING VERB + ADJECTIVES + ('THAT') CLAUSE, FOCUS",Can use 'it' + linking verb + adjective + ('that') clause as a focusing device.,It is clear that we can't live without computers today.,
814,B2,MODALITY,adjectives,FORM: SUBJECT + 'BE' + ADJECTIVE + 'TO' + INFINITIVE ,Can use pronoun or noun + 'be' + adjective + 'to' + (past) infinitive.,They are unlikely to arrive on Friday.,
815,B2,MODALITY,can,FORM: WITH ADVERBS,"Can use 'can' with an increasing range of adverbs (including 'easily', 'hardly', 'now', 'probably', 'sometimes', 'still') in the normal mid position after the modal verb or after the subject in questions.  ► adverbs","In case you need them , I can easily provide references.",2.0
816,B2,MODALITY,can,USE: GENERAL TRUTHS AND TENDENCIES,Can use 'can' to talk about general truths and tendencies.,…some young people can feel bored when they have to walk a lot and look at […] very old things.,
817,B2,MODALITY,can,USE: GUESSES AND PREDICTIONS,"Can use the negative forms of 'can't' and 'cannot' to guess, predict and deduce.",You look very pale and you can’t be feeling well.,
818,B2,MODALITY,can,USE: REPROACHES AND APPEALS,Can use negative forms of 'can' to make reproaches or appeals.,You can’t forget your friends.,
819,B2,MODALITY,could,FORM: PAST,Can used 'could' have + '-ed'.,In fact it could have been dangerous but it became funny and also an embarrassing moment in my life!,
820,B2,MODALITY,could,USE: PAST POSSIBILITY,Can used affirmative 'could' have + '-ed' to talk about past possibility.,Alice was disappointed that her mother could have phoned her but she did not.,
821,B2,MODALITY,could,USE: REGRET,Can use 'could have' + '-ed' to talk about regrets.,"I wish I could have stayed, especially to help the children.",
822,B2,MODALITY,could,USE: PAST SPECULATION,Can use 'could have' + '-ed' to speculate about the past.,I thought perhaps a thief could have entered my house.,
823,B2,MODALITY,could,USE: REPORTED SPEECH,Can use 'could' as the past form of 'can' in reported speech.,"I told them I couldn't go because I didn't have money, I wasn't honest!",
824,B2,MODALITY,dare,FORM: NEGATIVE,Can use negative form dare not and daren't +  infinitive without to.,"[talking about a restaurant] But many local people dare not go to Lily, because it is too expensive.",
825,B2,MODALITY,dare,FORM: AFFIRMATIVE,Can use affirmative form dare + infinitive without to.,I can cook if you dare eat it!,
826,B2,MODALITY,dare,USE: BRAVADO,Can use semi-modal 'dare' to talk about being brave enough to do something.,"Some people object that I have to put up with the rain and other inconveniences, but I think that they are rather jealous because they daren't give up their car.",
827,B2,MODALITY,expressions with be,FORM: 'BE' EXPRESSIONS + INFINITIVE,"Can use the full range of expressions with 'be' + infinitive ('be likely to', 'be due to', 'be meant to', 'be bound to', 'be sure to', 'be certain to', 'be obliged to') with present and past forms of 'be' and with modal 'will' .",People who read books are likely to be more knowledgeable.,3.0
828,B2,MODALITY,expressions with be,"USE: 'BE MEANT TO', IDEAL STATES",Can use 'be meant to' to talk about ideal states.,"Animals are meant to be free, and man should be very careful about interfering with nature.",
829,B2,MODALITY,expressions with be,"USE: 'BE DUE TO', 'BE TO', SCHEDULES","Can use 'be due to' and, more formally, 'be to' to talk about things that are scheduled or expected.",I have attached the … company law directive enacted 2 years ago and which is due to be implemented by 2008.,
830,B2,MODALITY,expressions with be,"USE: 'BE LIKELY TO', PROBABILITY",Can use 'be' (+modifier) 'likely to' to talk about probability.,"And whenever money is involved, some problems are likely to happen.",
831,B2,MODALITY,expressions with be,"FORM/USE: 'BE MORE/LESS LIKELY', COMPARISON",Can use '(much) more/less' to modify 'likely' in a comparison.,"In case of an accident, one is more likely to be badly injured when riding a bicycle.",
832,B2,MODALITY,expressions with be,"USE: 'BE SUPPOSED TO', HEARSAY",Can use 'be supposed to' to talk about hearsay or supposition.,"That woman is supposed to have killed her husbands (at least two), because she wanted their money.",
833,B2,MODALITY,expressions with be,"USE: 'BE BOUND TO', CERTAINTY",Can use 'be' (+ modifier) 'bound to' to talk about something certain or inevitable.,"I assure you that it is bound to be popular with different clients, especially young people and white-collar workers.",
834,B2,MODALITY,expressions with be,FORM: 'BE' + ADJECTIVE + 'THAT',Can use 'be' + 'obvious/sure/likely/certain' followed by a 'that'-clause.,"It is about 1000 years old, so I am sure that you will find it fascinating to see it.",
835,B2,MODALITY,expressions with be,"USE: 'BE SUPPOSED TO', OBLIGATION, EXPECTATION",Can use 'be supposed to' to talk about expectation or obligation.,"However, the show is only on the 14th of March, the same day we are supposed to go to a Science Museum.",
836,B2,MODALITY,expressions with be,FORM/USE: IMPERATIVE,"Can use the imperative form 'be sure to', to express obligation.","If you cannot attend, be sure to inform me in advance.",
837,B2,MODALITY,expressions with be,USE: 'BE SURE/CERTAIN TO',"Can use 'be sure to', 'be certain to' to talk about certainty.",A person that will act in that way is sure to be successful.,
838,B2,MODALITY,expressions with be,"USE: 'BE FORCED TO', OBLIGATION","Can use 'be forced to' to talk about an unnamed obligation, where the circumstances are beyond the control of the speaker/writer.",I don't like to be forced to do something that I don't want to do.,
839,B2,MODALITY,expressions with be,"USE: 'BE OBLIGED TO', OBLIGATION","Can use 'be obliged to' to talk about an external obligation, especially in institutional contexts.",The Sales Representatives are obliged to participate.,
840,B2,MODALITY,have (got) to,USE: SUGGESTION,Can use 'you (have) got to' to make a strong suggestion.,"If you think you have seen almost everything in this world, you've got to see this museum.",
841,B2,MODALITY,may,FORM: WITH ADVERBS,"Can use 'may' with an increasing range of adverbs (most commonly 'even', 'only', 'already', 'never', 'just', 'sometimes') in the normal mid-position after the modal verb. ► adverbs","When you're reading books, you may even find words you don't know and if you're an interested person, you will try to find out what it means, thus improving your vocabulary.",2.0
842,B2,MODALITY,may,USE: COMMAND,"Can use 'may I' to make a polite request, command or suggestion in formal contexts.",May I have your attention please?,
843,B2,MODALITY,may,FORM/USE: PAST AFFIRMATIVE,Can use 'may have' + '-ed' to talk about possibility in the past.,I think that he may have forgiven me for that accident … !,
844,B2,MODALITY,may,USE: POLITE REQUEST,Can use 'may I' to make a polite request for permission.,"Sir, may I come in?",
845,B2,MODALITY,may,USE: FOCUSING,"Can use 'may' in phrases such as as 'you may know', or 'as you may have' + '-ed' to focus the reader on shared knowledge.","I usually take more than one book because, as you may know, it takes many hours to get there.",
846,B2,MODALITY,may,USE: OPINION,Can use 'may … but' to express an unexpected point of view.,"This may surprise you but I've managed to lose some weight, which I'm proud of.",
847,B2,MODALITY,must,FORM: QUESTIONS,Can use the question form.,Is it possible to use the prize next year or must I cancel my trip to India?,
848,B2,MODALITY,must,FORM: PAST AFFIRMATIVE,Can use 'must have' + '-ed'.,"When I realized that he must have forgotten, I called him up.",
849,B2,MODALITY,must,USE: EMPHASIS ,"Can use the fixed expression 'I must say' to give emphasis, usually about something positive.","I must say that I'm most delighted to have you here with us, Mr. Saramago, and it's with enormous pleasure that my students will hear your words.",
850,B2,MODALITY,must,FORM: WITH ADVERBS,"Can use 'must' with an increasing range of adverbs (including 'all', 'never', 'strongly', 'first') in the normal mid position after the modal verb. ► adverbs","To sum up, we must all act immediately because the existence of humanity may be in danger.",2.0
851,B2,MODALITY,must,USE: OBLIGATION AND NECESSITY,Can use 'must' to ask about obligation and necessity.,Is it possible to use the prize next year or must I cancel my trip to India?,
852,B2,MODALITY,must,USE: DEDUCTIONS AND CONCLUSIONS,Can use the perfect form of 'must' to make deductions about the past.,"Of course, India must have changed a lot since Jules Verne wrote his book, but I think that its charm remains.",
853,B2,MODALITY,must,USE: CONCESSIONS,Can use the fixed expression 'I must admit' or 'you must admit' to express concession.,On the other hand you must admit that not all ready-made meals taste really good and often they are not as healthy as fresh ones.,
854,B2,MODALITY,must,USE: RULES,Can use the negative forms of 'must' to talk about what is not permitted.,You must not hit them or punish them without good reason if you do not want them to become your worst enemy.,
855,B2,MODALITY,need,USE: OBLIGATION AND NECESSITY,Can use 'needn't to' talk about a lack of obligation.,I like summer so much because the weather is hot and we needn't wear a jacket.,
856,B2,MODALITY,need,FORM: NEGATIVE,Can use the negative form.,You needn't worry about where we can stay.,
857,B2,MODALITY,ought,FORM: ELLIPSIS,Can use 'ought to' without a following verb where the previous main verb is understood. ► ellipsis,Otherwise some students would not get as much specialised help as they ought to.,
858,B2,MODALITY,ought,USE: DESIRED STATES ,Can use 'ought to' to talk about desired states of affairs.,"Furthermore, we ought to take care of our health by going on trips to not unpolluted places as often as possible.",
859,B2,MODALITY,should,FORM: ELLIPSIS ,Can use 'should' and 'shouldn't' without a following verb where the previous main verb is understood.,"Well, have you ever checked your blood pressure? I think you should.",
860,B2,MODALITY,should,FORM: 'SHOULD BE' + '-ING',Can use 'should be' + '-ing'.,"Well, you should be bouncing up and down with joy (just kidding)!",
861,B2,MODALITY,should,USE: OBLIGATION ,Can use 'should be' + '-ing' to talk about present general obligation.,Wild animals should be running free but I think that zoos today have an important role in keeping them alive.,
862,B2,MODALITY,should,USE: EXPECTATIONS ,Can use 'should be' + '-ing' to talk about expectations.,,
863,B2,MODALITY,used to,FORM: ELLIPSIS,Can use 'used to' without a following verb where the previous main verb is understood. ► ellipsis,She doesn't travel as much as she used to.,
864,B2,MODALITY,will,USE: REQUESTS,Can use 'will' (particularly 'Will you please') to make requests and commands in a wide range of contexts.,"Will you please send me his name, address and telephone number.",3.0
865,B2,MODALITY,would,USE: HABITUAL PAST,Can use 'would' to talk about habitual actions and events in the past.,[talking about a job that the speaker did last year] In my opinion I worked very hard. I would spend a lot of hours at work.,
866,B2,NEGATION,negation,"FORM/USE: 'NOT', EMPHASIS",Can use uncontracted 'not' for emphasis or in formal contexts.,Do not take on too many assignments at a time.,
867,B2,NEGATION,negation,"FORM: 'NEITHER OF', 'NONE OF' + PRONOUN",Can use negative forms 'neither of' and 'none of' + pronoun or noun phrase with the affirmative form of the verb.,Neither of us is liable in this case.,
868,B2,NEGATION,negation,FORM/USE: 'NEITHER … NOR',"Can use 'neither … nor' to connect two words, phrases or clauses, often to give emphasis or focus.",Neither you nor I would like that.,
869,B2,NEGATION,negation,"FORM/USE: 'NEVER', INVERTED FRONT POSITION, FOCUS","Can use 'never' in front position followed by an inverted subject (most commonly 'I') + main verb, to give focus.",Never have I seen such a realistic and impressive film before.,
870,B2,NOUNS,noun phrases,FORM: POSSESSION WITH PLURAL NOUNS  + ',Can form noun phrases with plural nouns + ' + noun.,He had promised that he would go to his grandparents' house this afternoon.,
871,B2,NOUNS,noun phrases,FORM: NOUN + 'OF' + POSSESSIVE DETERMINER + NOUN ,"Can form noun phrases with noun + 'of' + possessive determiner + noun + '‘s', particularly with 'friend' or 'friends'.","Actually, I know a great one and they can make a little discount for us because the owner is a friend of my father's.",
872,B2,NOUNS,noun phrases,FORM: POSTMODIFYING WITH ADJECTIVE PHRASE,Can form complex noun phrases by using adjective phrases as postmodifiers to give more information about the noun.,"Besides, we could leave one day in the morning and go by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph.",
873,B2,NOUNS,noun phrases,FORM: COMPLEX NOUN PHRASES WITH ADJECTIVES COMBINED WITH 'BUT',Can form an increasing range of complex noun phrases with more than one adjective combined with 'but'.,"I am very lucky, because I was born in a small but beautiful city called Neuva Helvecia.",
874,B2,NOUNS,types,"FORM'-ING' FORMS, SUBJECT",Can use the '-ing' form of verbs as nouns in subject position.,Working until midnight every evening is not reasonable. Working late is not the solution and it is even dangerous.,2.0
875,B2,NOUNS,uncountable,FORM: NO ARTICLE,Can use uncountable nouns without a definite article to refer to an abstract thing in general.,Television is more attractive because it has moving images.,
876,B2,PASSIVES,get and have,"FORM/USE: 'HAVE' + OBJ + '-ED', PROACTIVE PASSIVE",Can use have + object + -ed to talk about something where the speaker is in a pro-active or a passive role.,"After I left you on Monday, I had my car serviced and visited Washington with its wonderful memorials.",
877,B2,PASSIVES,get and have,FORM: 'GET' + REFLEXIVE PRONOUN + '-ED',Can use a reflexive pronoun with the 'get'-passive.,Although to drive a car you must be very careful because you could get yourself killed if you don't drive carefully enough.,
878,B2,PASSIVES,get and have,FORM/USE: 'GET' + OBJECT + 'TO'-INFINITIVE,Can use 'get' + object + 'to'-infinitive to talk about causing someone to do something.,"I would like to point at a few things about our small town, which I, as a citizen, have to explain to our friends, in order to get them to visit us more frequently.",
879,B2,PASSIVES,passives: form,FORM: INFINITIVE,"Can use the passive infinitive affirmative and negative forms after an increasing range of main verbs, modal verbs, adjectives and nouns, in impersonal constructions.","According to your advertisement, some training is supposed to be given.",2.0
880,B2,PASSIVES,passives: form,"FORM: PAST PERFECT SIMPLE, AFFIRMATIVE ",Can use the past perfect passive affirmative form.,The car had been serviced and everything seemed to be all right.,
881,B2,PASSIVES,passives: form,FORM: MODAL PERFECT ,Can use the present perfect simple affirmative and negative forms with modal verbs to refer to the past.,I think that all these problems could have been avoided and that asking for my money back is the best way of forgetting that evening.,
882,B2,PASSIVES,passives: form,FORM: PAST CONTINUOUS AFFIRMATIVE. ,Can use the past continuous passive affirmative.,"However, to my disappointment, the restaurant was closed because it was being redecorated.",
883,B2,PASSIVES,passives: form,FORM: PAST SIMPLE NEGATIVE,Can use past simple passive negative.,"What is worse, the ticket price was not reduced despite the fact that I showed my student ID.",
884,B2,PASSIVES,passives: form,"FORM: PAST PERFECT SIMPLE, NEGATIVE ",Can use the past perfect passive negative form.,"[talking about a car] In fact, it hadn't been stolen, it had been taken by a man and his wife, because their car broke down and because she was about to have her baby …",
885,B2,PASSIVES,passives: form,"FORM: PRESENT CONTINUOUS, AFFIRMATIVE ",Can use the present continuous passive affirmative with an increasing range of verbs.,"This year's topic is the online training for employees, which is being relaunched.",2.0
886,B2,PASSIVES,passives: form,"FORM: PRESENT CONTINUOUS, NEGATIVE",Can use the present continuous passive negative.,… students are not being educated equally.,
887,B2,PASSIVES,passives: form,"FORM: PRESENT PERFECT SIMPLE, AFFIRMATIVE ",Can use the present perfect passive affirmative form (often in the context of reporting).  ► reported speech,I have been asked to write a report about an accident which happened to me last Saturday.,
888,B2,PASSIVES,passives: form,USE: SUMMARIES AND EVALUATIONS,Can use the passive with modal verbs to evaluate or summarise.,"In conclusion, it can be seen that the bicycle is more suitable for those who are living in a little town or in the country.",
889,B2,PASSIVES,passives: form,"FORM: WITH VERBS TAKING TWO OBJECTS, , WITH PREPOSITIONAL PHRASE","Can use the passive with a range of tenses and verbs needing two objects (e.g. give, offer, sell) with the direct object in subject position and the indirect object in a prepositional phrase.","Your name was given to me by a member of yours, Allan Westwood, whom I met last week.",
890,B2,PASSIVES,passives: form,"USE: WITH 'WILL', FUTURE REFERENCE",Can use the passive with 'will' to talk about the future.,Just to let you know you will be booked into the Palace Hotel …,
891,B2,PASSIVES,passives: form,FORM: WITH MODAL VERBS,"Can use the passive with modal verbs in a range of contexts, with a variety of subjects.","Architects should be hired to design parks, where people could go for a walk or have a picnic.",
892,B2,PASSIVES,passives: form,FORM: WITH VERBS TAKING TWO OBJECTS.,"Can use the passive with a wide range of verbs needing two objects, putting the indirect object in subject position.","I was very happy to hear that you have been offered two jobs, one in a restaurant and one in a museum.",2.0
893,B2,PASSIVES,passives: form,"FORM: PRESENT PERFECT SIMPLE, NEGATIVE ",Can use the present perfect passive negative form (often in the context of reporting). ► reported speech,…the old-fashioned house which has not been used for twenty years is not a very attractive sight from our town either.,
894,B2,PAST,past continuous,FORM: WITH ADVERBS,Can use the past continuous with a wide range of adverbs in the normal mid position.,My younger brother was constantly bothering me.,3.0
895,B2,PAST,past continuous,USE: POLITENESS ,Can use the past continuous to make a request or suggestions more polite or less direct.,I was wondering if I could impose on you again for my next visit.,
896,B2,PAST,past perfect continuous,FORM: NEGATIVE,Can use the negative form.,Laura realised that she had not been studying very hard lately.,1.0
897,B2,PAST,past perfect continuous,FORM/USE: BACKGROUND INFORMATION WITH TIME CONJUNCTION,Can use the past perfect continuous after a time conjunction to give background information.,"After we had been sunbathing at the beach all day long, we went every evening to a cosy restaurant called ""The Barking Cat"", where we had a good meal and some wine.",
898,B2,PAST,past perfect continuous,FORM/USE: BACKGROUND INFORMATION WITH RELATIVE CLAUSE,Can use the past perfect continuous in a relative clause to give background information.  ► relative clauses,And there were two men who had been chasing the murderer to find out who the man is and rescue the girl....,
899,B2,PAST,past perfect continuous,USE: RESULTS,"Can use the past perfect continuous to talk about events which started before a time in the past and which finished, but where the effects or results were still important at a point in the past.",Unfortunately it had been snowing for a long time and so I was unable to go out for a walk.,
900,B2,PAST,past perfect continuous,FORM: WITH ADVERBS,Can use the past perfect continuous with adverbs in the normal mid position.,I had been working hard at my job and I had really been looking forward to this holiday.,
901,B2,PAST,past perfect simple,"FORM/USE: AFTER 'BECAUSE', EXPLANATIONS ",Can use the past perfect simple after 'because' to give explanatory information.,He was sleeping but I realised that this was because he had lost a lot of blood.,
902,B2,PAST,past perfect simple,"FORM/USE: AFTER 'IF ONLY' AND 'WISH', IMAGINED PAST","Can use the affirmative form after 'if only', and the affirmative and negative forms after 'wish' to talk about regret.",If only I had listened to my father!,
903,B2,PAST,past perfect simple,FORM: WITH ADVERBS,"Can use the past perfect simple with a wide range of adverbs (including 'finally', 'recently', 'simply') in the normal mid-position.  ► adverbs",He had finally achieved his goal!,3.0
904,B2,PAST,past perfect simple,FORM/USE: INVERSION WITH 'NO SOONER … THAN',"Can invert the subject and auxiliary verb with 'no sooner … than' to talk about something that happened immediately before something else, often in formal contexts.",… but no sooner had I gone to bed than someone broke the door down.,
905,B2,PAST,past perfect simple,FORM: QUESTIONS,Can use question forms.,Had I made the same mistake twice?,
906,B2,PAST,past perfect simple,FORM/USE: INVERSION WITH 'NEVER (BEFORE)',"Can invert the subject and auxiliary verb after 'never (before)' to talk about a unique event, often in formal contexts.",Never had I been in such a ridiculous situation!,
907,B2,PAST,past perfect simple,FORM: ELLIPSIS ,Can leave out the subject before the past perfect simple where it is understood from the previous clause.,But now she felt stronger and had lost her fear.,
